2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Nemzetiségi önkormányzat,,,,,,,,,,,,
Helység megnevezése,Helység KSH kódja,Helység jogállása,Vármegye megnevezése,Járás kódja,Járás neve,Járás székhelye,"Polgármesteri hivatal, közös önkormányzati hivatal kódja","Polgármesteri hivatal, közös önkormányzati hivatal székhelye",Terület  (hektár),Lakó-népesség,Lakások száma,Becsült terület-adatokkal,bolgár  ,görög  ,horvát  ,lengyel  ,német  ,örmény  ,roma,román  ,ruszin  ,szerb  ,szlovák  ,szlovén  ,ukrán  
Cserhátszentiván,32319,község,Nógrád,118 0,Pásztói,Pásztó,5 ,Mátraszőlős,"1,066",119,114,,,,,,,,,,,,,,
Cserkeszőlő,05795,község,Jász-Nagykun-Szolnok,165 0,Kunszentmártoni,Kunszentmárton,1 ,–,"3,070",2098,1559,,,,,,,,,,,,,,
Cserkút,03896,község,Baranya,028 0,Pécsi,Pécs,5 ,Orfű,667,634,232,,,,,,,,,,,,,,
Csernely,28459,község,Borsod-Abaúj-Zemplén,062 0,Ózdi,Ózd,5 ,Nekézseny,"2,062",664,383,,,,,,,,1,,,,,,
Cserszegtomaj,07135,község,Zala,193 0,Keszthelyi,Keszthely,1 ,–,"1,260",3504,1632,,,,,,,,,,,,,,
Csertalakos,10649,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5 ,Bak,199,28,25,,,,,,,,,,,,,,
Csertő,13851,község,Baranya,033 0,Szigetvári,Szigetvár,5 ,Mozsgó,"1,425",395,171,,,,,,,,,,,,,,
Csesznek,24642,község,Veszprém,192 0,Zirci,Zirc,5 ,Bakonyszentkirály,"2,421",428,228,,,,,,,,,,,,,,
Csesztreg,02583,község,Zala,194 0,Lenti,Lenti,2 ,[Helyben],"2,300",781,362,,,,,,,,,,,,,,
Csesztve,20145,község,Nógrád,116 0,Balassagyarmati,Balassagyarmat,5 ,Szügy,"1,625",329,179,,,,,,,,1,,,,,,
Csetény,31699,község,Veszprém,192 0,Zirci,Zirc,2 ,[Helyben],"1,837",1767,704,,,,,,,,,,,,,,
Csévharaszt,18476,község,Pest,130 0,Monori,Monor,1 ,–,"4,923",2165,772,,,,,,,,,,,,,,
Csibrák,11998,község,Tolna,171 0,Dombóvári,Dombóvár,5 ,Kurd,"1,462",270,126,,,,,,,,,,,,,,
Csikéria,15699,község,Bács-Kiskun,034 0,Bácsalmási,Bácsalmás,5 ,Bácsalmás,"2,584",614,447,,,,1,,1,,,,,,,,
Csikóstőttős,30094,község,Tolna,171 0,Dombóvári,Dombóvár,5 ,Dombóvár,"1,770",737,354,,,,,,1,,,,,,,,
Csikvánd,13505,község,Győr-Moson-Sopron,092 0,Téti,Tét,5 ,Gyarmat,"1,454",484,224,,,,,,,,,,,,,,
Csincse,34111,község,Borsod-Abaúj-Zemplén,060 0,Mezőkövesdi,Mezőkövesd,5 ,Mezőnyárád,"1,134",470,212,,,,,,,,,,,,,,
Csipkerek,26064,község,Vas,182 0,Vasvári,Vasvár,5 ,Kám,"1,313",388,227,,,,,,,,,,,,,,
Csitár,05050,község,Nógrád,116 0,Balassagyarmati,Balassagyarmat,5 ,Őrhalom,"1,685",366,193,,,,,,,,1,,,,,,
Csobád,05333,község,Borsod-Abaúj-Zemplén,056 0,Encsi,Encs,5 ,Ináncs,"1,183",683,260,,,,,,,,1,,,,,,
Csobaj,20774,község,Borsod-Abaúj-Zemplén,069 0,Tokaji,Tokaj,5 ,Tokaj,"1,961",601,324,,,,,,,,,,,,,,
Csobánka,06822,község,Pest,135 0,Szentendrei,Szentendre,1 ,–,"2,276",3588,1275,,,,,,1,,1,,,1,1,,
Csókakő,21908,község,Fejér,082 0,Móri,Mór,2 ,[Helyben],"1,092",1576,643,,,,,,,,,,,,,,
Csokonyavisonta,05971,község,Somogy,140 0,Barcsi,Barcs,2 ,[Helyben],"8,129",1450,690,,,,,,,,1,,,,,,
Csokvaomány,14289,község,Borsod-Abaúj-Zemplén,062 0,Ózdi,Ózd,5 ,Nekézseny,"1,500",680,403,,,,,,,,,,,,,,
Csolnok,18926,község,Komárom-Esztergom,110 0,Esztergomi,Esztergom,2 ,[Helyben],"1,871",3098,1284,,,,,,1,,,,,,,,
Csólyospálos,12025,község,Bács-Kiskun,042 0,Kiskunmajsai,Kiskunmajsa,2 ,[Helyben],"6,510",1441,897,,,,,,,,,,,,,,
Csoma,08040,község,Somogy,143 0,Kaposvári,Kaposvár,5 ,Nagyberki,843,402,178,,,,,,,,,,,,,,
Csomád,33118,község,Pest,126 0,Dunakeszi,Dunakeszi,5 ,Fót,"1,238",1851,707,,,,,,,,,,,,1,,
Csombárd,02477,község,Somogy,143 0,Kaposvári,Kaposvár,5 ,Juta,899,268,110,,,,,,,,,,,,,,
Csongrád,05111,város,Csongrád-Csanád,070 1,Csongrádi,Csongrád,1 ,–,"17,389",15317,8451,,,,,,,,1,,,,,,
Csonkahegyhát,31149,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5 ,Gellénháza,828,331,146,,,,,,,,,,,,,,
Csonkamindszent,22576,község,Baranya,032 0,Szentlőrinci,Szentlőrinc,5 ,Szentlőrinc,553,179,62,,,,,,,,,,,,,,
Csopak,02185,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,2 ,[Helyben],"2,398",2112,1150,,,,,,,,,,,,,,
Csór,09779,község,Fejér,085 0,Székesfehérvári,Székesfehérvár,1 ,–,"4,149",1914,908,,,,,,,,,,,,,,
Csorna,04039,város,Győr-Moson-Sopron,086 1,Csornai,Csorna,1 ,–,"9,195",9572,4413,,,,,,,,,,,,,,
Csorvás,26709,város,Békés,046 0,Békéscsabai,Békéscsaba,1 ,–,"9,018",4313,2328,,,,,,,,1,,,,1,,
Csót,32878,község,Veszprém,187 0,Pápai,Pápa,2 ,[Helyben],"2,002",903,361,,,,,,,,1,,,,,,
Csöde,27492,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5 ,Zalalövő,"1,061",71,56,,,,,,,,,,,,,,
Csögle,32814,község,Veszprém,186 0,Devecseri,Devecser,5 ,Somlóvásárhely,"1,691",511,295,,,,,,,,,,,,,,
Csökmő,12450,nagyközség,Hajdú-Bihar,094 0,Berettyóújfalui,Berettyóújfalu,1 ,–,"6,897",1674,837,,,,,,,,1,,,,,,
Csököly,24314,község,Somogy,143 0,Kaposvári,Kaposvár,2 ,[Helyben],"2,984",915,388,,,,,,,,1,,,,,,
Csömend,27270,község,Somogy,144 0,Marcali,Marcali,5 ,Mesztegnyő,866,271,132,,,,,,,,,,,,,,
Csömödér,29364,község,Zala,194 0,Lenti,Lenti,2 ,[Helyben],779,572,262,,,,,,,,1,,,,,,
Csömör,22804,nagyközség,Pest,128 0,Gödöllői,Gödöllő,1 ,–,"2,271",10194,3678,,,,,,1,,,,,,1,,
Csönge,22390,község,Vas,176 0,Celldömölki,Celldömölk,5 ,Kenyeri,"2,527",335,191,,,,,,,,,,,,,,
Csörnyeföld,33978,község,Zala,195 0,Letenyei,Letenye,5 ,Bázakerettye,"2,121",349,202,,,,,,,,,,,,,,
Csörög,34333,község,Pest,138 0,Váci,Vác,1 ,–,505,2017,760,,,,,,,,1,,,,,,
Csörötnek,04224,község,Vas,180 0,Szentgotthárdi,Szentgotthárd,2 ,[Helyben],"2,053",742,325,,,,,,,,,,,,,1,
Csősz,06734,község,Fejér,085 0,Székesfehérvári,Székesfehérvár,5 ,Tác,"1,711",969,374,,,,,,,,,,,,,,
Csővár,26985,község,Pest,138 0,Váci,Vác,5 ,Acsa,"1,717",621,250,,,,,,,,,,,,1,,
Csurgó,21315,város,Somogy,141 1,Csurgói,Csurgó,2 ,[Helyben],"5,942",4279,2052,,,,,,,,1,,,,,,
Csurgónagymarton,10603,község,Somogy,141 0,Csurgói,Csurgó,5 ,Csurgó,"1,482",152,79,,,,,,,,,,,,,,
Dabas,09247,város,Pest,125 1,Dabasi,Dabas,1 ,–,"16,599",17670,7053,,,,,,,,1,,,,1,,1
Dabronc,17172,község,Veszprém,188 0,Sümegi,Sümeg,5 ,Gógánfa,"2,027",378,183,,,,,,,,,,,,,,
Dabrony,28237,község,Veszprém,186 0,Devecseri,Devecser,5 ,Tüskevár,"1,700",365,187,,,,,,,,,,,,,,
Dad,33163,község,Komárom-Esztergom,113 0,Oroszlányi,Oroszlány,2 ,[Helyben],"2,375",952,373,,,,,,,,,,,,,,
Dág,22910,község,Komárom-Esztergom,110 0,Esztergomi,Esztergom,2 ,[Helyben],"1,189",926,408,,,,,,1,,,,,,,,
Dáka,20154,község,Veszprém,187 0,Pápai,Pápa,5 ,Nyárád,"2,539",643,166,,,,,,,,,,,,,,
Dalmand,29230,község,Tolna,171 0,Dombóvári,Dombóvár,2 ,[Helyben],"4,877",1142,499,,,,,,,,,,,,,,
Damak,11350,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,5 ,Edelény,753,226,104,,,,,,,,,,,,,,
Dámóc,07719,község,Borsod-Abaúj-Zemplén,054 0,Cigándi,Cigánd,5 ,Ricse,"1,599",274,167,,,,,,,,1,,,,,,
Dánszentmiklós,31811,község,Pest,124 0,Ceglédi,Cegléd,1 ,–,"3,800",2576,1075,,,,,,,,,,,,,,
Dány,18397,község,Pest,128 0,Gödöllői,Gödöllő,1 ,–,"4,301",4529,1604,,,,,,,,1,,,,,,
Daraboshegy,15990,község,Vas,177 0,Körmendi,Körmend,5 ,Nádasd,459,95,63,,,,,,,,,,,,,,
Darány,31352,község,Somogy,140 0,Barcsi,Barcs,2 ,[Helyben],"2,810",772,329,,,,1,,,,1,,,,,,
Darnó,18795,község,Szabolcs-Szatmár-Bereg,150 0,Fehérgyarmati,Fehérgyarmat,5 ,Jánkmajtis,464,149,63,,,,,,,,1,,,,,,
Darnózseli,21865,község,Győr-Moson-Sopron,089 0,Mosonmagyaróvári,Mosonmagyaróvár,2 ,[Helyben],"1,961",1615,626,,,,,,,,,,,,,,
Daruszentmiklós,34342,község,Fejér,078 0,Dunaújvárosi,Dunaújváros,5 ,Kisapostag,"1,912",1044,550,,,,,,,,,,,,,,
Darvas,14678,község,Hajdú-Bihar,094 0,Berettyóújfalui,Berettyóújfalu,5 ,Zsáka,"4,231",447,274,,,,,,,,,,,,,,
Dávod,10533,község,Bács-Kiskun,035 0,Bajai,Baja,2 ,[Helyben],"6,921",1738,1074,,,,,,,,1,,,,,,
Debercsény,07320,község,Nógrád,116 0,Balassagyarmati,Balassagyarmat,5 ,Magyarnándor,543,84,52,,,,,,,,,,,,,,
Debrecen,15130,"megyeszékhely, megyei jogú város",Hajdú-Bihar,095 1,Debreceni,Debrecen,1 ,–,"46,166",202130,100621,,1,1,,1,1,1,1,1,1,,,,1
Debréte,31954,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,5 ,Szalonna,962,13,29,,,,,,,,,,,,,,
Decs,24989,nagyközség,Tolna,173 0,Szekszárdi,Szekszárd,2 ,[Helyben],"9,467",3737,1522,,,,,,,,1,,,,,,
Dédestapolcsány,04686,község,Borsod-Abaúj-Zemplén,058 0,Kazincbarcikai,Kazincbarcika,5 ,Szuhakálló,"2,943",1235,738,,,,,,,,,,,,,,
Dég,32753,község,Fejér,079 0,Enyingi,Enying,1 ,–,"4,689",1963,877,,,,,,,,,,,,,,
Dejtár,12511,község,Nógrád,116 0,Balassagyarmati,Balassagyarmat,5 ,Drégelypalánk,"2,142",1278,554,,,,,,,,1,,,,,,
Délegyháza,09973,község,Pest,136 0,Szigetszentmiklósi,Szigetszentmiklós,1 ,–,"2,560",6082,2295,,,,,,,,1,,,,,,
Demecser,17756,város,Szabolcs-Szatmár-Bereg,152 0,Kemecsei,Kemecse,2 ,[Helyben],"3,699",3810,1453,,,,,,,,1,,,,,,
Demjén,08660,község,Heves,104 0,Egri,Eger,5 ,Kerecsend,"2,508",997,336,,,,,,,,,,,,,,
Dencsháza,07773,község,Baranya,033 0,Szigetvári,Szigetvár,2 ,[Helyben],"1,398",507,207,,,,,,,,1,,,,,,
Dénesfa,32595,község,Győr-Moson-Sopron,088 0,Kapuvári,Kapuvár,5 ,Beled,"1,754",388,172,,,,,,,,,,,,,,
Derecske,05573,város,Hajdú-Bihar,096 1,Derecskei,Derecske,2 ,[Helyben],"10,359",8366,3401,,,,,,,,,,,,,,
Derekegyház,07834,község,Csongrád-Csanád,076 0,Szentesi,Szentes,2 ,[Helyben],"5,378",1352,661,,,,,,,,,,,,,,
Deszk,24077,község,Csongrád-Csanád,075 0,Szegedi,Szeged,1 ,–,"5,205",3990,1517,,,,,,,,,,,1,,,
Detek,10524,község,Borsod-Abaúj-Zemplén,056 0,Encsi,Encs,5 ,Szalaszend,968,267,124,,,,,,,,,,,,,,
Detk,09201,község,Heves,106 0,Gyöngyösi,Gyöngyös,5 ,Visonta,"2,808",1114,524,,,,,,,,,,,,,,
Dévaványa,24819,város,Békés,047 0,Gyomaendrődi,Gyomaendrőd,2 ,[Helyben],"21,655",6450,3200,,,,,,,,1,,,,,,
Devecser,32276,város,Veszprém,186 1,Devecseri,Devecser,1 ,–,"6,410",4137,1768,,,,,,,,1,,,,,,
Dinnyeberki,11952,község,Baranya,032 0,Szentlőrinci,Szentlőrinc,5 ,Bicsérd,850,87,40,,,,,,,,,,,,,,
Diósberény,11688,község,Tolna,174 0,Tamási,Tamási,5 ,Regöly,"1,775",270,181,,,,,,1,,,,,,,,
Diósd,24013,város,Pest,127 0,Érdi,Érd,1 ,–,575,11693,4383,,,,,,1,,1,,,,,,
Diósjenő,06743,község,Nógrád,119 0,Rétsági,Rétság,1 ,–,"5,750",2872,1186,,,,,,,,1,,,,,,
Dióskál,28778,község,Zala,193 0,Keszthelyi,Keszthely,5 ,Zalaapáti,"1,963",407,258,,,,,,,,1,,,,,,
Diósviszló,32373,község,Baranya,031 0,Siklósi,Siklós,2 ,[Helyben],"1,581",602,249,,,,,,,,1,,,,,,
Doba,10870,község,Veszprém,186 0,Devecseri,Devecser,5 ,Somlóvásárhely,"2,122",444,263,,,,,,,,,,,,,,
Doboz,33190,nagyközség,Békés,046 0,Békéscsabai,Békéscsaba,1 ,–,"5,447",3903,1891,,,,,,,,1,,,,,,
Dobri,25885,község,Zala,194 0,Lenti,Lenti,5 ,Lovászi,789,123,102,,,,,,,,,,,,,,
Dobronhegy,32708,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5 ,Teskánd,215,167,79,,,,,,,,,,,,,,
Dóc,30535,község,Csongrád-Csanád,075 0,Szegedi,Szeged,5 ,Sándorfalva,"4,943",661,288,,,,,,,,,,,,,,
Domaháza,25690,község,Borsod-Abaúj-Zemplén,062 0,Ózdi,Ózd,5 ,Hangony,"2,882",769,312,,,,,,,,1,,,,,,
Domaszék,13383,község,Csongrád-Csanád,075 0,Szegedi,Szeged,1 ,–,"5,215",4753,2149,,,,,,,,1,,,,,,
Dombegyház,24031,nagyközség,Békés,049 0,Mezőkovácsházai,Mezőkovácsháza,1 ,–,"5,794",1546,1011,,,,,,,,1,1,,,,,
Dombiratos,22132,község,Békés,049 0,Mezőkovácsházai,Mezőkovácsháza,5 ,Nagykamarás,"1,830",437,393,,,,,,,,,,,,,,
Dombóvár,07685,város,Tolna,171 1,Dombóvári,Dombóvár,2 ,[Helyben],"7,848",16752,8856,,,,1,,1,,1,,,,,,
Dombrád,14508,város,Szabolcs-Szatmár-Bereg,153 0,Kisvárdai,Kisvárda,2 ,[Helyben],"5,184",3512,1334,,,,,,,,1,,,,,,
Domony,04808,község,Pest,122 0,Aszódi,Aszód,1 ,–,"2,180",2209,879,,,,,,,,1,,,,,,
Domoszló,07515,község,Heves,106 0,Gyöngyösi,Gyöngyös,2 ,[Helyben],"4,022",1779,960,,,,,,,,,,,,,,
Dormánd,30261,község,Heves,105 0,Füzesabonyi,Füzesabony,5 ,Mezőtárkány,"2,006",891,376,,,,,,,,,,,,,,
Dorog,10490,város,Komárom-Esztergom,110 0,Esztergomi,Esztergom,1 ,–,"1,154",11272,5220,,,,,,1,,1,,,,1,,
Dorogháza,24439,község,Nógrád,117 0,Bátonyterenyei,Bátonyterenye,5 ,Mátramindszent,"1,768",934,564,,,,,,,,1,,,,,,
Dozmat,16151,község,Vas,181 0,Szombathelyi,Szombathely,5 ,Torony,854,346,125,,,,,,,,,,,,,,
Döbörhegy,20695,község,Vas,177 0,Körmendi,Körmend,5 ,Molnaszecsőd,"1,175",138,108,,,,,,,,,,,,,,
Döbröce,07782,község,Zala,198 0,Zalaszentgróti,Zalaszentgrót,5 ,Óhíd,270,92,51,,,,,,,,,,,,,,
Döbrököz,02565,község,Tolna,171 0,Dombóvári,Dombóvár,2 ,[Helyben],"4,313",1820,942,,,,,,1,,1,,,,,,
Döbrönte,29470,község,Veszprém,187 0,Pápai,Pápa,5 ,Pápakovácsi,"1,079",251,130,,,,,,1,,,,,,,,
Döge,03647,község,Szabolcs-Szatmár-Bereg,153 0,Kisvárdai,Kisvárda,1 ,–,"1,654",2016,734,,,,,,,,1,,,,,,
Dömös,06594,község,Komárom-Esztergom,110 0,Esztergomi,Esztergom,5 ,Pilismarót,"2,401",1148,480,,,,,,,,,,,,,,
Dömsöd,29647,nagyközség,Pest,134 0,Ráckevei,Ráckeve,1 ,–,"7,242",5948,2651,,,,,,,,1,,,,,,
Dör,21917,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,5 ,Szilsárkány,"1,101",642,226,,,,,,,,,,,,,,
Dörgicse,06363,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,5 ,Balatonfüred,"1,911",312,179,,,,,,,,,,,,,,
Döröske,03036,község,Vas,177 0,Körmendi,Körmend,5 ,Molnaszecsőd,440,136,87,,,,,,,,,,,,,,
Dötk,16009,község,Zala,198 0,Zalaszentgróti,Zalaszentgrót,5 ,Kehidakustány,172,43,24,,,,,,,,,,,,,,
Dövény,06123,község,Borsod-Abaúj-Zemplén,063 0,Putnoki,Putnok,5 ,Felsőnyárád,"1,165",266,118,,,,,,,,1,,,,,,
Drágszél,07524,község,Bács-Kiskun,037 0,Kalocsai,Kalocsa,5 ,Miske,"1,259",252,148,,,,,,,,,,,,,,
Drávacsehi,28617,község,Baranya,031 0,Siklósi,Siklós,5 ,Kovácshida,740,155,74,,,,,,,,,,,,,,
Drávacsepely,28121,község,Baranya,031 0,Siklósi,Siklós,5 ,Kovácshida,660,178,89,,,,,,,,,,,,,,
Drávafok,17419,község,Baranya,030 0,Sellyei,Sellye,5 ,Sellye,"2,390",426,210,,,,1,,,,1,,,,,,
Drávagárdony,13611,község,Somogy,140 0,Barcsi,Barcs,5 ,Darány,627,135,59,,,,,,,,,,,,,,
Drávaiványi,32391,község,Baranya,030 0,Sellyei,Sellye,5 ,Sellye,"1,101",154,82,,,,,,,,1,,,,,,
Drávakeresztúr,09159,község,Baranya,030 0,Sellyei,Sellye,5 ,Sellye,"1,297",110,98,,,,1,,,,,,,,,,
Drávapalkonya,22734,község,Baranya,031 0,Siklósi,Siklós,5 ,Kovácshida,"1,013",268,107,,,,,,,,1,,,,,,
Drávapiski,12380,község,Baranya,031 0,Siklósi,Siklós,5 ,Kovácshida,491,99,42,,,,,,,,,,,,,,
Drávaszabolcs,28608,község,Baranya,031 0,Siklósi,Siklós,5 ,Kovácshida,"1,122",663,287,,,,,,,,1,,,,,,
Drávaszerdahely,30030,község,Baranya,031 0,Siklósi,Siklós,5 ,Kovácshida,624,150,76,,,,,,,,,,,,,,
Drávasztára,21698,község,Baranya,030 0,Sellyei,Sellye,5 ,Sellye,"1,818",348,216,,,,1,,,,,,,,,,
Drávatamási,15884,község,Somogy,140 0,Barcsi,Barcs,5 ,Darány,845,292,103,,,,1,,,,,,,,,,
Drégelypalánk,08156,község,Nógrád,116 0,Balassagyarmati,Balassagyarmat,2 ,[Helyben],"2,218",1322,631,,,,,,,,,,,,,,
Dubicsány,27669,község,Borsod-Abaúj-Zemplén,063 0,Putnoki,Putnok,5 ,Putnok,"1,300",238,115,,,,,,,,,,,,,,
Dudar,02936,község,Veszprém,192 0,Zirci,Zirc,2 ,[Helyben],"2,458",1646,654,,,,,,,,,,,,,,
Duka,02927,község,Vas,176 0,Celldömölki,Celldömölk,5 ,Jánosháza,"1,524",231,156,,,,,,,,,,,,,,
Dunaalmás,33835,község,Komárom-Esztergom,114 0,Tatai,Tata,5 ,Tata,"1,483",1836,738,,,,,,,,,,,,,,
Dunabogdány,25362,község,Pest,135 0,Szentendrei,Szentendre,1 ,–,"2,550",3256,1450,,,,,,1,,,,,,,,
Dunaegyháza,21069,község,Bács-Kiskun,043 0,Kunszentmiklósi,Kunszentmiklós,5 ,Apostag,"1,012",1433,723,,,,,,,,1,,,,1,,
Dunafalva,12566,község,Bács-Kiskun,035 0,Bajai,Baja,5 ,Szeremle,"5,790",800,567,,,,,,1,,,,,,,,
Dunaföldvár,31501,város,Tolna,172 0,Paksi,Paks,1 ,–,"11,142",8249,4008,,,,,,,,1,,,,,,
Dunaharaszti,09584,város,Pest,136 0,Szigetszentmiklósi,Szigetszentmiklós,1 ,–,"2,917",23700,9196,,,,,,1,,1,,,,,,
Dunakeszi,18616,város,Pest,126 1,Dunakeszi,Dunakeszi,1 ,–,"3,106",42630,18584,,1,,,1,1,,1,,,,,,1
Dunakiliti,27739,község,Győr-Moson-Sopron,089 0,Mosonmagyaróvári,Mosonmagyaróvár,2 ,[Helyben],"3,364",2079,882,,,,,,,,,,,,,,
Dunapataj,07861,nagyközség,Bács-Kiskun,037 0,Kalocsai,Kalocsa,1 ,–,"9,047",3015,1635,,,,,,,,1,,,,,,
Dunaremete,02079,község,Győr-Moson-Sopron,089 0,Mosonmagyaróvári,Mosonmagyaróvár,5 ,Darnózseli,436,255,115,,,,,,,,,,,,,,
Dunaszeg,21078,község,Győr-Moson-Sopron,087 0,Győri,Győr,2 ,[Helyben],"1,726",2324,875,,,,,,,,,,,,,,
Dunaszekcső,09186,község,Baranya,027 0,Mohácsi,Mohács,2 ,[Helyben],"3,675",1723,920,,,,,,1,,1,,,,,,
Dunaszentbenedek,11606,község,Bács-Kiskun,037 0,Kalocsai,Kalocsa,5 ,Géderlak,"2,324",734,415,,,,,,,,,,,,,,
Dunaszentgyörgy,09539,község,Tolna,172 0,Paksi,Paks,2 ,[Helyben],"3,763",2408,1041,,,,,,,,,,,,,,
Dunaszentmiklós,24101,község,Komárom-Esztergom,114 0,Tatai,Tata,5 ,Tata,778,554,264,,,,,,1,,,,,,,,
Dunaszentpál,15875,község,Győr-Moson-Sopron,087 0,Győri,Győr,2 ,[Helyben],981,739,281,,,,,,,,,,,,,,
Dunasziget,10454,község,Győr-Moson-Sopron,089 0,Mosonmagyaróvári,Mosonmagyaróvár,5 ,Rajka,"3,588",1836,757,,,,,,,,,,,,,,
Dunatetétlen,14766,község,Bács-Kiskun,037 0,Kalocsai,Kalocsa,5 ,Harta,"4,319",501,256,,,,,,,,,,,,,,
Dunaújváros,03115,megyei jogú város,Fejér,078 1,Dunaújvárosi,Dunaújváros,1 ,–,"5,283",41193,23057,,,,1,1,,,1,,1,1,,,
Dunavarsány,20534,város,Pest,136 0,Szigetszentmiklósi,Szigetszentmiklós,2 ,[Helyben],"2,252",8987,3392,,,,,,1,,1,,,,,,
Dunavecse,07612,város,Bács-Kiskun,043 0,Kunszentmiklósi,Kunszentmiklós,1 ,–,"6,677",3894,1681,,,,,,,,1,,,,,,
Dusnok,04109,község,Bács-Kiskun,037 0,Kalocsai,Kalocsa,1 ,–,"5,747",2591,1234,,,,1,,1,,1,,,,,,
Dúzs,19202,község,Tolna,174 0,Tamási,Tamási,5 ,Hőgyész,"1,127",222,110,,,,,,,,,,,,,,
Ebergőc,26347,község,Győr-Moson-Sopron,091 0,Soproni,Sopron,5 ,Sopronkövesd,502,146,83,,,,,,,,,,,,,,
Ebes,14614,község,Hajdú-Bihar,100 0,Hajdúszoboszlói,Hajdúszoboszló,1 ,–,"7,730",4627,1712,,,,,,,,,,,,,,
Écs,16708,község,Győr-Moson-Sopron,090 0,Pannonhalmi,Pannonhalma,2 ,[Helyben],"1,984",2302,864,,,,,,,,,,,,,,
Ecséd,17181,község,Heves,107 0,Hatvani,Hatvan,1 ,–,"4,160",3138,1405,,,,,,,,1,,,,,,
Ecseg,04251,község,Nógrád,118 0,Pásztói,Pásztó,2 ,[Helyben],"2,410",1140,511,,,,,,,,1,,,,,,
Ecsegfalva,09432,község,Békés,047 0,Gyomaendrődi,Gyomaendrőd,5 ,Dévaványa,"7,899",1008,502,,,,,,,,,,,,,,
Ecseny,10861,község,Somogy,143 0,Kaposvári,Kaposvár,5 ,Mernye,"1,292",204,152,,,,,,,,,,,,,,
Ecser,24518,nagyközség,Pest,139 0,Vecsési,Vecsés,1 ,–,"1,310",4109,1669,,,,,,,,,,,,1,,
Edde,03489,község,Somogy,143 0,Kaposvári,Kaposvár,5 ,Somogyjád,851,167,83,,,,,,,,,,,,,,
Edelény,10728,város,Borsod-Abaúj-Zemplén,055 1,Edelényi,Edelény,2 ,[Helyben],"5,682",9032,3469,,,,,1,,,1,,1,,,,
Edve,22442,község,Győr-Moson-Sopron,088 0,Kapuvári,Kapuvár,5 ,Beled,505,100,72,,,,,,,,,,,,,,
Eger,20491,"megyeszékhely, megyei jogú város",Heves,104 1,Egri,Eger,1 ,–,"9,221",48686,27299,,,,,1,,,1,,1,,,,
Egerág,28918,község,Baranya,028 0,Pécsi,Pécs,5 ,Kozármisleny,"1,301",962,356,,,,,,,,,,,,,,
Egeralja,33871,község,Veszprém,186 0,Devecseri,Devecser,5 ,Somlóvásárhely,893,215,112,,,,,,,,,,,,,,
Egeraracsa,24262,község,Zala,193 0,Keszthelyi,Keszthely,5 ,Zalaapáti,703,333,167,,,,,,,,,,,,,,
Egerbakta,12821,község,Heves,104 0,Egri,Eger,2 ,[Helyben],"3,237",1404,525,,,,,,,,1,,,,,,
Egerbocs,26019,község,Heves,104 0,Egri,Eger,5 ,Egercsehi,"1,595",479,266,,,,,,,,,,,,,,
Egercsehi,16610,község,Heves,104 0,Egri,Eger,2 ,[Helyben],"1,039",1204,636,,,,,,,,1,,,,,,
Egerfarmos,02981,község,Heves,105 0,Füzesabonyi,Füzesabony,5 ,Szihalom,"2,380",658,320,,,,,,,,,,,,,,
Egerlövő,05865,község,Borsod-Abaúj-Zemplén,060 0,Mezőkövesdi,Mezőkövesd,5 ,Mezőkövesd,"1,978",507,279,,,,,,,,,,,,,,
Egerszalók,24758,község,Heves,104 0,Egri,Eger,2 ,[Helyben],"2,311",1948,817,,,,,,,,1,,,,,,
Egerszólát,13648,község,Heves,104 0,Egri,Eger,5 ,Egerszalók,"2,610",1010,447,,,,,,,,,,,,,,
Égerszög,13356,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,5 ,Perkupa,"1,077",51,46,,,,,,,,,,,,,,
Egervár,33428,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,2 ,[Helyben],"1,028",1054,397,,,,,,,,,,,,,,
Egervölgy,28796,község,Vas,182 0,Vasvári,Vasvár,5 ,Kám,886,337,218,,,,,,,,,,,,,,
Egyed,20288,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,5 ,Rábapordány,"1,343",473,229,,,,,,,,,,,,,,
Egyek,15741,nagyközség,Hajdú-Bihar,093 0,Balmazújvárosi,Balmazújváros,1 ,–,"10,475",4772,2174,,,,,,,,1,,,,,,
Egyházasdengeleg,17659,község,Nógrád,118 0,Pásztói,Pásztó,5 ,Héhalom,"1,574",388,214,,,,,,,,,,,,1,,
Egyházasfalu,15237,község,Győr-Moson-Sopron,091 0,Soproni,Sopron,5 ,Iván,"2,165",853,355,,,,,,,,,,,,,,
